Date,Day,Meal Type,Food Item,Wasted (kg),Consumed (kg),Prepared (kg),Number of Students,Season,Holiday or Weekday,Food Category,Meal Cost per Student,Total Cost,Nutritional Value (Calories),Protein_Content_g,Carbohydrates_g,Fat_Content_g,Average_Rating,Leftovers_%,1kg Cost (Min),1kg Cost (Max),Consumption Ratio
2024-12-28,Saturday,Breakfast,Coffee,1.93,24.13,26.06,251,Winter,Holiday,Beverage,20.54,5155.54,223,8.29,63.99,14.72,5.0,15.42,400,500,0.47
2024-12-28,Saturday,Lunch,Rice,4.4,45.48,49.88,313,Winter,Holiday,Main Dish,29.38,9195.94,110,26.47,45.88,15.41,1.7,20.86,40,60,0.9
2024-12-28,Saturday,Lunch,Dal,5.05,42.72,47.77,313,Winter,Holiday,Beverage,13.45,4209.85,247,20.84,46.76,15.1,4.1,15.62,100,120,0.92
2024-12-28,Saturday,Lunch,Kollu thovaiyal,3.31,24.34,27.65,313,Winter,Holiday,Side Dish,39.62,12401.06,542,11.33,38.52,9.37,4.3,5.68,156,198,0.67
2024-12-28,Saturday,Dinner,Coconut chutney,1.65,27.56,29.21,409,Winter,Holiday,Beverage,50.0,20450.0,343,5.4,73.34,2.96,3.5,10.13,156,198,0.83
2024-12-28,Saturday,Lunch,Appalam,6.07,33.9,39.97,313,Winter,Holiday,Main Dish,22.46,7029.98,140,18.19,31.11,12.39,2.7,2.77,150,200,0.99
2024-12-28,Saturday,Dinner,Idli,5.06,41.79,46.85,409,Winter,Holiday,Main Dish,30.57,12503.13,158,22.35,33.87,18.3,1.2,26.79,80,100,0.85
2024-12-28,Saturday,Lunch,Rasam,1.94,26.1,28.04,313,Winter,Holiday,Snack,28.34,8870.42,120,21.39,57.61,9.59,4.5,12.98,80,100,0.97
2024-12-28,Saturday,Dinner,Sambar,5.67,40.37,46.04,409,Winter,Holiday,Side Dish,39.86,16302.74,518,14.32,23.3,7.55,3.3,6.66,120,150,0.52
2024-12-28,Saturday,Dinner,Banana,3.11,27.72,30.83,409,Winter,Holiday,Snack,24.06,9840.54,172,13.79,30.6,7.19,1.8,26.79,40,60,0.84
2024-12-28,Saturday,Snacks,Bajji,3.28,25.5,28.78,76,Winter,Holiday,Snack,40.77,3098.52,257,12.73,39.82,5.47,2.9,18.92,150,200,0.52
2024-12-28,Saturday,Snacks,Tea,5.03,33.58,38.61,76,Winter,Holiday,Snack,27.08,2058.08,258,26.61,23.83,19.05,1.7,3.56,200,250,0.61
2024-12-28,Saturday,Lunch,Thick curd,4.89,28.74,33.63,313,Winter,Holiday,Main Dish,15.75,4929.75,556,10.83,30.43,12.75,4.8,18.28,156,198,0.91
2024-12-27,Friday,Lunch,Appalam,4.94,44.68,49.62,271,Winter,Weekday,Main Dish,27.32,7403.72,242,16.05,48.59,9.46,1.5,8.63,150,200,0.96
2024-12-27,Friday,Breakfast,Kambu Dosai,4.03,29.0,33.03,405,Winter,Weekday,Main Dish,12.2,4941.0,324,9.46,42.89,12.7,4.5,14.54,100,120,0.85
2024-12-27,Friday,Breakfast,Semiya,4.97,40.15,45.12,405,Winter,Weekday,Main Dish,46.76,18937.8,209,10.98,41.37,9.56,2.4,25.14,80,100,0.93
2024-12-27,Friday,Breakfast,Sambar,4.24,40.5,44.74,405,Winter,Weekday,Snack,45.1,18265.5,195,15.45,42.34,4.75,2.7,9.44,120,150,0.49
2024-12-27,Friday,Breakfast,Coconut chutney,1.58,14.85,16.43,405,Winter,Weekday,Beverage,10.52,4260.6,141,11.28,39.1,10.45,3.4,11.3,156,198,0.96
2024-12-27,Friday,Breakfast,Coffee,3.34,36.46,39.8,405,Winter,Weekday,Side Dish,45.2,18306.0,572,13.01,57.27,14.44,3.1,9.88,400,500,0.87
2024-12-27,Friday,Lunch,Rice,4.99,34.81,39.8,271,Winter,Weekday,Side Dish,36.62,9924.02,331,8.37,29.86,16.39,3.9,0.27,40,60,0.48
2024-12-27,Friday,Lunch,Mullangi sambar,2.29,47.39,49.68,271,Winter,Weekday,Snack,48.56,13159.76,467,12.4,70.76,10.88,1.2,28.66,156,198,0.94
2024-12-27,Friday,Lunch,vazhathandu,3.56,45.83,49.39,271,Winter,Weekday,Main Dish,28.3,7669.3,252,19.31,68.74,4.97,3.3,4.17,156,198,0.79
2024-12-27,Friday,Dinner,curd rice,3.92,33.42,37.34,251,Winter,Weekday,Side Dish,26.23,6583.73,575,23.61,54.03,16.33,3.6,0.67,156,198,0.95
2024-12-27,Friday,Lunch,Rasam,1.51,31.51,33.02,271,Winter,Weekday,Side Dish,39.84,10796.64,192,13.67,71.16,16.15,2.3,3.88,80,100,0.76
2024-12-27,Friday,Snacks,Badam milk,8.91,45.53,54.44,485,Winter,Weekday,Side Dish,21.13,10248.05,525,27.34,21.05,14.54,1.6,27.96,156,198,0.46
2024-12-27,Friday,Snacks,Masal vadai,3.58,26.06,29.64,485,Winter,Weekday,Beverage,44.14,21407.9,341,23.92,57.15,11.13,2.2,3.02,156,198,0.97
2024-12-27,Friday,Dinner,Mushroom biriyani,5.94,47.94,53.88,251,Winter,Weekday,Snack,11.72,2941.72,243,13.3,47.47,6.34,3.8,13.23,156,198,0.49
2024-12-27,Friday,Dinner,kurma,2.7,42.93,45.63,251,Winter,Weekday,Snack,31.83,7989.33,132,8.8,73.96,3.52,1.4,23.13,156,198,0.98
2024-12-27,Friday,Dinner,banana,3.29,49.73,53.02,251,Winter,Weekday,Beverage,39.66,9954.66,325,8.26,78.2,11.45,3.3,19.24,156,198,0.61
2024-12-27,Friday,Lunch,Ghee,5.18,31.6,36.78,271,Winter,Weekday,Snack,37.19,10078.49,453,23.66,34.83,9.43,3.6,14.72,500,600,0.83
2024-12-26,Thursday,Lunch,Appalam,1.36,26.34,27.7,414,Winter,Weekday,Snack,11.79,4881.06,294,11.69,72.07,9.88,3.3,5.72,150,200,0.52
2024-12-26,Thursday,Breakfast,"Sevai(white,red)",3.2,31.29,34.49,499,Winter,Weekday,Main Dish,25.38,12664.62,538,13.45,60.76,15.78,2.5,4.02,156,198,0.83
2024-12-26,Thursday,Breakfast,kadalai curry,3.97,44.52,48.49,499,Winter,Weekday,Side Dish,39.21,19565.79,557,27.67,53.93,12.3,3.3,12.3,156,198,0.46
2024-12-26,Thursday,Breakfast,coconut milk,5.19,41.53,46.72,499,Winter,Weekday,Snack,14.72,7345.28,179,19.68,46.18,9.66,2.8,17.71,156,198,0.89
2024-12-26,Thursday,Breakfast,Wheat Upma,4.12,43.61,47.73,499,Winter,Weekday,Side Dish,45.5,22704.5,550,7.14,52.4,15.39,4.5,8.52,80,100,0.98
2024-12-26,Thursday,Breakfast,Coffee,3.91,24.58,28.49,499,Winter,Weekday,Side Dish,18.17,9066.83,352,16.25,31.86,19.38,4.5,25.38,400,500,0.96
2024-12-26,Thursday,Lunch,Rice,5.85,45.02,50.87,414,Winter,Weekday,Side Dish,26.53,10983.42,469,23.91,45.84,6.13,2.4,29.44,40,60,0.47
2024-12-26,Thursday,Lunch,Morokkolambu,4.63,31.73,36.36,414,Winter,Weekday,Snack,13.87,5742.18,553,24.85,50.1,4.59,1.4,3.6,120,150,0.93
2024-12-26,Thursday,Lunch,Pachapayir kolambu,3.54,46.08,49.62,414,Winter,Weekday,Side Dish,48.54,20095.56,444,17.36,74.07,18.43,1.7,0.54,156,198,0.6
2024-12-26,Thursday,Lunch,Potato Fry,6.81,44.25,51.06,414,Winter,Weekday,Snack,19.07,7894.98,569,27.37,35.65,14.04,2.5,23.69,100,120,0.56
2024-12-26,Thursday,Lunch,Rasam,2.99,41.4,44.39,414,Winter,Weekday,Main Dish,42.43,17566.02,506,15.26,58.65,12.32,3.6,10.59,80,100,0.38
2024-12-26,Thursday,Snacks,Chukku paal,4.39,46.28,50.67,426,Winter,Weekday,Snack,21.92,9337.92,473,27.41,63.48,15.91,3.7,27.5,156,198,0.96
2024-12-26,Thursday,Snacks,Sundal,6.41,39.14,45.55,426,Winter,Weekday,Main Dish,49.02,20882.52,196,22.14,22.13,18.56,4.8,19.77,100,120,0.94
2024-12-26,Thursday,Dinner,Wheat Parotta,2.21,50.5,52.71,496,Winter,Weekday,Side Dish,37.34,18520.64,385,26.47,79.84,9.68,3.6,1.22,100,120,0.58
2024-12-26,Thursday,Dinner,Salna,4.02,47.48,51.5,496,Winter,Weekday,Side Dish,39.75,19716.0,394,7.22,72.36,7.28,1.6,0.44,120,150,0.9
2024-12-26,Thursday,Dinner,Curd rice,2.87,27.65,30.52,496,Winter,Weekday,Main Dish,26.74,13263.04,103,26.62,37.84,13.51,3.3,5.99,156,198,0.74
2024-12-26,Thursday,Dinner,Banana,4.3,35.32,39.62,496,Winter,Weekday,Main Dish,18.36,9106.56,471,13.02,35.44,9.48,3.2,9.55,40,60,0.97
2024-12-26,Thursday,Lunch,Thick curd,7.59,42.15,49.74,414,Winter,Weekday,Snack,31.28,12949.92,508,27.46,21.22,15.42,2.3,11.83,156,198,0.94
2024-12-25,Wednesday,Breakfast,Sambar,2.75,28.34,31.09,496,Winter,Weekday,Snack,18.96,9404.16,543,7.83,39.57,12.43,3.0,7.42,120,150,0.84
2024-12-25,Wednesday,Lunch,Sambar,3.78,34.44,38.22,392,Winter,Weekday,Snack,48.31,18937.52,321,18.52,38.67,2.81,4.9,5.94,120,150,0.87
2024-12-25,Wednesday,Lunch,Rice,5.28,29.83,35.11,392,Winter,Weekday,Beverage,46.65,18286.8,493,17.13,30.96,18.1,2.8,5.08,40,60,0.86
2024-12-25,Wednesday,Breakfast,Coffee,2.52,39.81,42.33,496,Winter,Weekday,Side Dish,27.07,13426.72,459,15.16,77.66,6.24,4.1,25.14,400,500,0.92
2024-12-25,Wednesday,Lunch,Rasam,2.27,35.92,38.19,392,Winter,Weekday,Beverage,42.0,16464.0,581,9.29,71.78,15.54,1.4,25.73,80,100,0.61
2024-12-25,Wednesday,Breakfast,Kesar(Milk),5.25,37.06,42.31,496,Winter,Weekday,Side Dish,29.84,14800.64,558,23.14,37.76,16.63,4.0,25.93,156,198,0.83
2024-12-25,Wednesday,Breakfast,Pudina chutney,1.94,23.68,25.62,496,Winter,Weekday,Side Dish,24.22,12013.12,533,17.54,49.6,3.32,2.9,26.53,156,198,0.57
2024-12-25,Wednesday,Breakfast,Idly,6.02,42.16,48.18,496,Winter,Weekday,Beverage,38.56,19125.76,374,14.28,23.03,8.94,1.1,29.65,156,198,0.96
2024-12-25,Wednesday,Lunch,Cabbage poriyal,2.95,32.76,35.71,392,Winter,Weekday,Beverage,22.99,9012.08,180,25.46,50.59,5.63,2.2,3.3,156,198,0.9
2024-12-25,Wednesday,Snacks,puffs/Samosa,3.45,30.68,34.13,451,Winter,Weekday,Snack,43.09,19433.59,560,22.49,38.6,17.45,2.0,17.18,156,198,0.69
2024-12-25,Wednesday,Lunch,Appalam,4.3,43.41,47.71,392,Winter,Weekday,Beverage,28.86,11313.12,182,25.2,45.0,14.77,2.7,3.25,150,200,0.98
2024-12-25,Wednesday,Dinner,Tomato thokku,4.37,32.91,37.28,313,Winter,Weekday,Side Dish,24.41,7640.33,432,8.46,41.39,5.52,2.5,12.55,156,198,0.95
2024-12-25,Wednesday,Dinner,banana,5.78,40.65,46.43,313,Winter,Weekday,Snack,28.5,8920.5,230,20.98,38.51,2.78,4.0,7.98,156,198,0.56
2024-12-25,Wednesday,Dinner,coconut chutney,6.74,45.02,51.76,313,Winter,Weekday,Snack,12.26,3837.38,396,18.12,22.66,18.38,4.1,4.99,156,198,0.94
2024-12-25,Wednesday,Dinner,Daal sambar,2.32,36.92,39.24,313,Winter,Weekday,Snack,48.27,15108.51,518,21.64,69.97,11.29,3.5,16.39,156,198,0.55
2024-12-25,Wednesday,Lunch,Thick curd,3.43,30.38,33.81,392,Winter,Weekday,Main Dish,11.56,4531.52,150,22.32,64.63,7.21,3.2,4.14,156,198,0.88
2024-12-25,Wednesday,Dinner,Wheat Dosai,2.83,16.3,19.13,313,Winter,Weekday,Beverage,26.39,8260.07,233,15.3,43.57,7.65,3.7,26.41,100,120,0.84
2024-12-25,Wednesday,Snacks,Tea,3.26,49.49,52.75,451,Winter,Weekday,Snack,20.25,9132.75,107,18.9,71.38,3.12,2.4,7.38,200,250,0.86
2024-12-24,Tuesday,Lunch,Vadagam,5.68,34.36,40.04,254,Winter,Weekday,Side Dish,39.55,10045.7,218,28.41,31.86,11.55,3.2,20.32,200,250,0.95
2024-12-24,Tuesday,Breakfast,Maggie (without vegetables),2.67,39.33,42.0,475,Winter,Weekday,Side Dish,33.05,15698.75,372,19.54,75.64,18.19,2.0,25.94,60,80,0.51
2024-12-24,Tuesday,Breakfast,Kichadi,1.54,34.65,36.19,475,Winter,Weekday,Snack,31.89,15147.75,573,18.34,75.91,15.35,4.2,28.79,100,120,0.38
2024-12-24,Tuesday,Breakfast,coconut chutney,4.39,47.46,51.85,475,Winter,Weekday,Beverage,22.66,10763.5,240,19.91,50.76,19.5,3.1,17.01,156,198,0.9
2024-12-24,Tuesday,Breakfast,Ragi Koozh,5.66,34.85,40.51,475,Winter,Weekday,Beverage,46.07,21883.25,459,14.15,38.35,12.78,2.8,20.47,80,100,0.31
2024-12-24,Tuesday,Breakfast,Tomato sauce,4.78,39.33,44.11,475,Winter,Weekday,Snack,34.83,16544.25,225,25.18,47.58,6.35,3.8,25.8,156,198,0.95
2024-12-24,Tuesday,Lunch,Tomato Rice,3.71,50.01,53.72,254,Winter,Weekday,Main Dish,49.05,12458.7,316,7.92,58.18,7.76,4.9,29.78,100,120,0.93
2024-12-24,Tuesday,Lunch,Lemon rice/Pulisahtam/Pudina rice/coconut rice,3.84,27.3,31.14,254,Winter,Weekday,Side Dish,46.5,11811.0,112,8.23,50.01,7.88,3.3,20.42,156,198,0.9
2024-12-24,Tuesday,Breakfast,Coffee,4.37,26.43,30.8,475,Winter,Weekday,Beverage,32.09,15242.75,453,18.08,31.19,7.9,3.4,11.24,400,500,0.65
2024-12-24,Tuesday,Lunch,Rice,5.22,46.94,52.16,254,Winter,Weekday,Beverage,49.6,12598.4,478,12.71,48.78,8.94,4.2,15.65,40,60,0.94
2024-12-24,Tuesday,Snacks,Steamed groundnut,3.18,35.66,38.84,322,Winter,Weekday,Beverage,45.13,14531.86,496,11.2,60.89,5.94,4.9,16.93,156,198,0.95
2024-12-24,Tuesday,Dinner,curd rice,3.82,41.81,45.63,170,Winter,Weekday,Snack,14.91,2534.7,109,23.21,46.84,4.02,3.8,16.15,156,198,0.78
2024-12-24,Tuesday,Dinner,veg kuruma,1.81,18.65,20.46,170,Winter,Weekday,Main Dish,29.42,5001.4,492,7.55,54.28,16.14,2.5,4.65,156,198,0.59
2024-12-24,Tuesday,Dinner,Chappatti,4.98,31.08,36.06,170,Winter,Weekday,Main Dish,30.73,5224.1,444,5.91,40.34,3.93,3.5,23.88,156,198,0.33
2024-12-24,Tuesday,Dinner,banana,2.82,41.77,44.59,170,Winter,Weekday,Beverage,17.25,2932.5,537,9.99,59.55,15.04,3.6,23.0,156,198,0.98
2024-12-24,Tuesday,Snacks,Ellakai tea,4.46,42.77,47.23,322,Winter,Weekday,Snack,26.22,8442.84,106,24.1,53.98,2.4,3.6,23.88,156,198,0.96
2024-12-24,Tuesday,Lunch,Thick curd,2.31,43.22,45.53,254,Winter,Weekday,Snack,13.34,3388.36,167,26.74,73.26,4.68,3.5,3.35,156,198,0.28
2024-12-24,Tuesday,Lunch,Chutney,4.8,28.61,33.41,254,Winter,Weekday,Beverage,49.72,12628.88,212,18.42,26.2,14.11,2.9,12.72,156,198,0.91
2024-12-23,Monday,Breakfast,Venpongal,2.34,25.17,27.51,455,Winter,Weekday,Main Dish,18.74,8526.7,479,19.22,44.27,17.79,1.9,19.81,100,120,0.41
2024-12-23,Monday,Lunch,Rasam,2.63,37.94,40.57,468,Winter,Weekday,Snack,21.92,10258.56,313,24.76,63.63,15.29,2.9,5.42,80,100,0.38
2024-12-23,Monday,Breakfast,Chutney Sambar,4.19,27.45,31.64,455,Winter,Weekday,Main Dish,33.9,15424.5,543,27.04,37.49,2.84,1.1,6.63,156,198,0.97
2024-12-23,Monday,Breakfast,Vadai,3.91,32.34,36.25,455,Winter,Weekday,Side Dish,11.57,5264.35,113,28.55,34.06,7.47,2.7,1.48,100,120,0.86
2024-12-23,Monday,Breakfast,Sweet Pongal,5.76,44.9,50.66,455,Winter,Weekday,Side Dish,48.55,22090.25,470,23.49,51.95,9.98,2.2,2.98,120,150,0.94
2024-12-23,Monday,Breakfast,Upma(wheat),4.41,33.97,38.38,455,Winter,Weekday,Snack,46.37,21098.35,464,7.17,26.85,5.1,2.3,9.72,156,198,0.37
2024-12-23,Monday,Breakfast,Coffee,5.04,38.01,43.05,455,Winter,Weekday,Beverage,32.58,14823.9,583,21.73,52.96,15.14,2.8,15.12,400,500,0.95
2024-12-23,Monday,Lunch,Rice,7.88,43.73,51.61,468,Winter,Weekday,Side Dish,15.17,7099.56,129,15.26,20.08,5.32,3.7,29.8,40,60,0.69
2024-12-23,Monday,Lunch,Kaarakolambu,4.75,32.28,37.03,468,Winter,Weekday,Beverage,31.55,14765.4,253,16.77,39.43,8.24,3.5,13.06,120,150,0.97
2024-12-23,Monday,Lunch,dhal,6.02,40.74,46.76,468,Winter,Weekday,Main Dish,39.86,18654.48,121,6.23,33.2,13.94,4.7,15.74,156,198,0.53
2024-12-23,Monday,Lunch,carrot beans poriyal,3.45,46.59,50.04,468,Winter,Weekday,Main Dish,44.88,21003.84,364,9.78,78.27,10.68,3.1,20.85,156,198,0.98
2024-12-23,Monday,Lunch,Appalam,4.88,38.52,43.4,468,Winter,Weekday,Snack,17.28,8087.04,554,16.35,40.98,19.3,1.9,27.98,150,200,0.95
2024-12-23,Monday,Lunch,Ghee,4.34,46.29,50.63,468,Winter,Weekday,Side Dish,17.58,8227.44,315,14.6,51.01,14.77,1.6,8.29,500,600,0.92
2024-12-23,Monday,Snacks,Tea,5.53,43.84,49.37,486,Winter,Weekday,Main Dish,25.37,12329.82,534,26.36,32.81,6.15,3.0,28.05,200,250,0.63
2024-12-23,Monday,Snacks,Cake,2.45,25.84,28.29,486,Winter,Weekday,Beverage,19.72,9583.92,113,23.72,52.19,9.46,2.7,18.76,300,500,0.89
2024-12-23,Monday,Dinner,Dosai,1.72,39.01,40.73,432,Winter,Weekday,Main Dish,17.17,7417.44,122,11.81,70.12,2.59,3.6,14.51,100,120,0.98
2024-12-23,Monday,Dinner,Sambar,5.07,44.59,49.66,432,Winter,Weekday,Main Dish,26.14,11292.48,314,7.94,56.95,4.45,4.7,17.4,120,150,0.92
2024-12-23,Monday,Dinner,Groundnut chutney,2.23,20.19,22.42,432,Winter,Weekday,Beverage,32.37,13983.84,590,11.3,58.03,7.76,4.8,22.45,156,198,0.91
2024-12-23,Monday,Dinner,banana,3.2,29.05,32.25,432,Winter,Weekday,Side Dish,12.38,5348.16,184,28.02,52.46,8.16,1.7,4.64,156,198,0.9
2024-12-23,Monday,Lunch,Thick curd,4.41,31.16,35.57,468,Winter,Weekday,Snack,45.33,21214.44,192,12.54,25.57,4.1,4.0,15.87,156,198,0.86
2024-12-22,Sunday,Breakfast,Onion,2.7,10.31,13.01,431,Winter,Holiday,Beverage,38.27,16494.37,547,8.87,30.35,18.02,2.9,26.95,40,60,0.85
2024-12-22,Sunday,Lunch,Salna,5.29,31.89,37.18,335,Winter,Holiday,Snack,13.66,4576.1,490,19.0,39.02,7.89,1.1,25.79,120,150,0.87
2024-12-22,Sunday,Lunch,Kushka,5.08,48.71,53.79,335,Winter,Holiday,Snack,23.17,7761.95,443,22.43,62.73,17.29,3.3,0.69,150,200,0.85
2024-12-22,Sunday,Breakfast,Moor milagai,3.63,26.41,30.04,431,Winter,Holiday,Main Dish,38.49,16589.19,342,13.9,56.08,10.42,4.2,8.38,156,198,0.83
2024-12-22,Sunday,Breakfast,Bread,4.37,49.56,53.93,431,Winter,Holiday,Snack,36.49,15727.19,361,28.88,64.32,17.63,3.6,21.47,60,80,0.93
2024-12-22,Sunday,Breakfast,Milk,4.67,39.46,44.13,431,Winter,Holiday,Beverage,18.38,7921.78,187,19.42,39.61,9.96,2.5,25.33,50,60,0.33
2024-12-22,Sunday,Breakfast,Ragi Koozh,6.65,38.62,45.27,431,Winter,Holiday,Snack,34.19,14735.89,121,9.6,30.07,3.62,5.0,9.45,80,100,0.76
2024-12-22,Sunday,Breakfast,Jam,2.54,35.0,37.54,431,Winter,Holiday,Side Dish,36.21,15606.51,109,13.09,71.74,6.38,3.8,5.08,200,250,0.95
2024-12-22,Sunday,Breakfast,Butter,2.55,41.28,43.83,431,Winter,Holiday,Side Dish,33.59,14477.29,558,11.0,77.53,2.36,3.6,21.69,400,500,0.93
2024-12-22,Sunday,Lunch,Vadagam,3.73,45.56,49.29,335,Winter,Holiday,Side Dish,33.45,11205.75,599,14.66,52.37,8.11,4.4,11.31,200,250,0.73
2024-12-22,Sunday,Lunch,Raitha,3.62,43.14,46.76,335,Winter,Holiday,Side Dish,49.7,16649.5,450,15.51,61.46,18.12,1.2,9.88,80,100,0.95
2024-12-22,Sunday,Lunch,Rice,4.16,36.78,40.94,335,Winter,Holiday,Main Dish,48.57,16270.95,431,19.05,45.28,9.66,1.7,10.41,40,60,0.98
2024-12-22,Sunday,Snacks,Tea,3.76,43.7,47.46,475,Winter,Holiday,Side Dish,47.17,22405.75,251,6.96,66.29,6.26,1.3,11.35,200,250,0.89
2024-12-22,Sunday,Snacks,Masala pori,3.87,28.87,32.74,475,Winter,Holiday,Side Dish,43.99,20895.25,471,27.03,23.88,19.08,1.1,16.99,156,198,0.91
2024-12-22,Sunday,Dinner,Tomato Sevai,4.02,47.61,51.63,59,Winter,Holiday,Side Dish,38.35,2262.65,307,6.95,57.27,12.34,1.2,2.37,100,120,0.96
2024-12-22,Sunday,Dinner,White sevai,2.16,13.58,15.74,59,Winter,Holiday,Snack,37.69,2223.71,394,22.67,34.12,15.67,2.8,29.15,156,198,0.84
2024-12-22,Sunday,Dinner,Kadal curry,2.96,32.09,35.05,59,Winter,Holiday,Beverage,34.23,2019.57,335,28.0,53.45,3.61,2.0,28.09,156,198,0.44
2024-12-22,Sunday,Dinner,Coconut milk,3.24,39.6,42.84,59,Winter,Holiday,Snack,38.63,2279.17,273,11.77,77.41,10.87,1.5,28.03,156,198,0.96
2024-12-22,Sunday,Dinner,Banana,3.28,45.57,48.85,59,Winter,Holiday,Main Dish,47.98,2830.82,553,14.26,72.74,18.22,3.6,26.38,40,60,0.91
2024-12-22,Sunday,Lunch,Rasam,2.29,40.9,43.19,335,Winter,Holiday,Main Dish,20.59,6897.65,403,5.15,71.24,16.22,1.4,12.47,80,100,0.93
2024-12-21,Saturday,Breakfast,Jam,4.41,40.07,44.48,290,Winter,Holiday,Snack,33.2,9628.0,218,17.37,40.32,11.4,3.0,26.62,200,250,0.33
